,zip,place,county,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
56,27713,Durham,Durham,35.9112,-78.9178,5.0,Art Gallery,Music Venue,Brewery,Pub,Beer Store,Dive Bar,Concert Hall,Deli / Bodega,Distillery,Event Space
57,27540,Holly Springs,Wake,35.6263,-78.8458,4.0,Brewery,Art Gallery,American Restaurant,Sports Bar,Liquor Store,Music Venue,Coffee Shop,Pub,Bar,Concert Hall
58,27562,New Hill,Wake,35.6809,-78.9365,2.0,Museum,Wings Joint,Hotel,History Museum,Historic Site,Grocery Store,General Entertainment,Gay Bar,Gastropub,Event Space
59,27605,Raleigh,Wake,35.7908,-78.653,1.0,Bar,Art Gallery,Brewery,Music Venue,Cocktail Bar,Sports Bar,American Restaurant,History Museum,Beer Garden,Art Museum
60,27624,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
61,27635,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
62,27676,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
65,27278,Hillsborough,Orange,36.0756,-79.0914,0.0,Art Gallery,History Museum,Bar,Museum,Music Venue,Rock Club,Cocktail Bar,BBQ Joint,Beer Garden,Historic Site
66,27515,Chapel Hill,Orange,35.9132,-79.0558,1.0,Bar,Brewery,Art Gallery,American Restaurant,Music Venue,Sports Bar,Museum,Asian Restaurant,Cocktail Bar,Art Museum
67,27599,Chapel Hill,Orange,36.0525,-79.1077,0.0,Art Gallery,History Museum,Bar,Museum,Music Venue,Rock Club,Cocktail Bar,BBQ Joint,Beer Garden,Historic Site
68,27512,Cary,Wake,35.8084,-78.8395,5.0,Music Venue,Pub,Art Gallery,New American Restaurant,Dive Bar,College Basketball Court,Concert Hall,Deli / Bodega,Distillery,Event Space
69,27610,Raleigh,Wake,35.7667,-78.6008,1.0,Art Gallery,Music Venue,Bar,Brewery,Cocktail Bar,History Museum,American Restaurant,Beer Garden,BBQ Joint,Rock Club
70,27612,Raleigh,Wake,35.852,-78.6841,1.0,American Restaurant,Brewery,Music Venue,Art Gallery,Cocktail Bar,Bar,Italian Restaurant,Beer Store,Pizza Place,Japanese Restaurant
71,27622,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
72,27623,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
73,27640,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
74,27701,Durham,Durham,35.9967,-78.8966,1.0,Art Gallery,Brewery,Bar,Cocktail Bar,Music Venue,Concert Hall,Sports Bar,College Arts Building,Museum,Lounge
75,27708,Durham,Durham,36.0287,-78.92399999999999,1.0,Bar,Art Gallery,Brewery,Cocktail Bar,Concert Hall,Music Venue,Historic Site,Sports Bar,Museum,Pizza Place
76,27712,Durham,Durham,36.0918,-78.9299,5.0,Music Venue,Brewery,Art Gallery,Art Museum,Speakeasy,Wings Joint,Dive Bar,Concert Hall,Deli / Bodega,Distillery
77,27588,Wake Forest,Wake,35.9731,-78.4508,4.0,Brewery,Music Venue,Bar,Wings Joint,Event Space,Concert Hall,Deli / Bodega,Distillery,Dive Bar,Gastropub
78,27607,Raleigh,Wake,35.8014,-78.6877,1.0,Art Gallery,Bar,Music Venue,Brewery,American Restaurant,Cocktail Bar,Sports Bar,Art Museum,Pub,Beer Garden
79,27611,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
80,27620,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
81,27634,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
82,27658,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
83,27703,Durham,Durham,35.9781,-78.8439,4.0,Art Gallery,Distillery,Brewery,Museum,Wings Joint,Event Space,Concert Hall,Deli / Bodega,Dive Bar,Gastropub
84,27707,Durham,Durham,35.9631,-78.9315,1.0,Art Gallery,Brewery,Cocktail Bar,Bar,Music Venue,Sports Bar,Pizza Place,College Arts Building,Concert Hall,Lounge
85,27722,Durham,Durham,35.994,-78.8986,1.0,Art Gallery,Brewery,Bar,Cocktail Bar,Music Venue,Concert Hall,Sports Bar,College Arts Building,Museum,Lounge
86,27523,Apex,Wake,35.7225,-78.8408,0.0,Art Gallery,Brewery,Music Venue,Pub,Irish Pub,Italian Restaurant,Bar,Dive Bar,Concert Hall,Deli / Bodega
87,27560,Morrisville,Wake,35.8344,-78.8466,5.0,Art Gallery,Brewery,Music Venue,Hotel Bar,Speakeasy,New American Restaurant,Pub,American Restaurant,Sports Bar,Cajun / Creole Restaurant
88,27571,Rolesville,Wake,35.9156,-78.4658,4.0,Art Gallery,Brewery,Music Venue,Wings Joint,Event Space,Concert Hall,Deli / Bodega,Distillery,Dive Bar,Gastropub
89,27602,Raleigh,Wake,35.7587,-78.6711,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,Sports Bar,History Museum,American Restaurant,Art Museum,Beer Garden
90,27695,Raleigh,Wake,35.7977,-78.6253,1.0,Bar,Art Gallery,Music Venue,Brewery,Cocktail Bar,American Restaurant,Sports Bar,History Museum,Beer Garden,Art Museum
